id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
50,The Great Gatsby,10/05/2013,143,"United States of America,Australia","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.","Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,Joel Edgerton,Elizabeth Debicki","Director:  Baz Luhrmann , Screenwriter:  Baz Luhrmann,Screenwriter:  Craig Pearce , Producer:  Baz Luhrmann,Producer:  Catherine Martin,Producer:  Catherine Knapman,Producer:  Lucy Fisher",,,,,,,
51,Prince of Persia: The Sands of Time,19/05/2010,116,United States of America,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.","Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint","Director:  Mike Newell , Screenwriter:  Boaz Yakin,Screenwriter:  Doug Miro,Screenwriter:  Carlo Bernard , Producer:  Jerry Bruckheimer",,,,,,,
52,Pacific Rim,11/07/2013,131,"United States of America,Canada","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.","Idris Elba,Charlie Hunnam,Charlie Day,Ron Perlman,Burn Gorman","Director:  Guillermo del Toro , Screenwriter:  Travis Beacham,Screenwriter:  Guillermo del Toro , Producer:  Guillermo del Toro,Producer:  Jon Jashni,Producer:  Mary Parent,Producer:  Thomas Tull",,,,,,,
53,Transformers: Dark of the Moon,28/06/2011,154,United States of America,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.","Shia LaBeouf,John Malkovich,Ken Jeong,Frances McDormand,Josh Duhamel","Director:  Michael Bay , Screenwriter:  Ehren Kruger , Producer:  Don Murphy,Producer:  Ian Bryce,Producer:  Lorenzo di Bonaventura,Producer:  Kenny Bates,Producer:  Tom DeSanto",,,,,,,
54,Indiana Jones and the Kingdom of the Crystal Skull,21/05/2008,122,United States of America,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.","Harrison Ford,Cate Blanchett,Shia LaBeouf,Ray Winstone,Karen Allen","Director:  Steven Spielberg , Screenwriter:  David Koepp , Producer:  Frank Marshall",,,,,,,
55,The Good Dinosaur,14/11/2015,93,United States of America,An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand,Maleah Nipay-Padilla","Director:  Peter Sohn , Screenwriter:  Meg LeFauve , Producer:  John Lasseter,Producer:  Denise Ream",,,,,,,
56,Brave,21/06/2012,93,United States of America,"Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","Kelly Macdonald,Julie Walters,Billy Connolly,Emma Thompson,Kevin McKidd","Director:  Brenda Chapman,Director:  Mark Andrews,Director:  Steve Purcell , Screenwriter:  Irene Mecchi,Screenwriter:  Brenda Chapman,Screenwriter:  Mark Andrews,Screenwriter:  Steve Purcell , Producer:  Katherine Sarafian",,,,,,,
57,Star Trek Beyond,07/07/2016,122,United States of America,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.","Chris Pine,Zachary Quinto,Karl Urban,Simon Pegg,Zoe Saldana","Director:  Justin Lin , Screenwriter:  Simon Pegg,Screenwriter:  Doug Jung , Producer:  J.J. Abrams,Producer:  Roberto Orci,Producer:  Bryan Burk,Producer:  Justin Lin",,,,,,,
58,WALL·E,22/06/2008,98,United States of America,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.","Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,John Ratzenberger","Director:  Andrew Stanton , Screenwriter:  Andrew Stanton,Screenwriter:  Jim Reardon , Producer:  Jim Morris,Producer:  Lindsey Collins",,,,,,,
59,Rush Hour 3,08/08/2007,91,United States of America,"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.","Chris Tucker,Jackie Chan,Hiroyuki Sanada,Max von Sydow,Yvan Attal","Director:  Brett Ratner , Screenwriter:  Jeff Nathanson , Producer:  Roger Birnbaum,Producer:  Jonathan Glickman,Producer:  Arthur M. Sarkissian,Producer:  Jay Stern",,,,,,,
60,2012,10/10/2009,158,"Canada,United States of America","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.","John Cusack,Amanda Peet,Chiwetel Ejiofor,Thandie Newton,Oliver Platt","Director:  Roland Emmerich , Screenwriter:   , Producer:  Larry J. Franco,Producer:  Harald Kloser,Producer:  Mark Gordon,Producer:  Volker Engel,Producer:  Marc Weigert,Producer:  Aaron Boyd,Producer:  Kirstin Winkler",,,,,,,
61,A Christmas Carol,04/11/2009,96,United States of America,"Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption.","Gary Oldman,Jim Carrey,Steve Valentine,Daryl Sabara,Sage Ryan","Director:  Robert Zemeckis , Screenwriter:  Robert Zemeckis , Producer:  ",,,,,,,
62,Jupiter Ascending,04/02/2015,124,United States of America,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…","Mila Kunis,Channing Tatum,Sean Bean,Eddie Redmayne,Douglas Booth","Director:  Lilly Wachowski,Director:  Lana Wachowski , Screenwriter:   , Producer:  Grant Hill,Producer:  Lilly Wachowski,Producer:  Lana Wachowski",,,,,,,
63,The Legend of Tarzan,29/06/2016,109,"Canada,United Kingdom,United States of America","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","Alexander Skarsg\u00e5rd,Margot Robbie,Christoph Waltz,Samuel L. Jackson,Djimon Hounsou","Director:  David Yates , Screenwriter:  Stuart Beattie,Screenwriter:  Craig Brewer,Screenwriter:  Adam Cozad , Producer:  ",,,,,,,
64,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",07/12/2005,143,"United Kingdom,United States of America","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, the they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.","William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Liam Neeson","Director:  Andrew Adamson , Screenwriter:  Andrew Adamson,Screenwriter:  Ann Peacock,Screenwriter:  Christopher Markus,Screenwriter:  Stephen McFeely , Producer:  David Minkowski,Producer:  Matthew Stillman,Producer:  Mark Johnson,Producer:  Philip Steuer,Producer:  Douglas Gresham,Producer:  K.C. Hodenfield",,,,,,,
65,X-Men: Apocalypse,18/05/2016,144,United States of America,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.","James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult,Oscar Isaac","Director:  Bryan Singer , Screenwriter:   , Producer:  Lauren Shuler Donner,Producer:  Simon Kinberg",,,,,,,
66,The Dark Knight,16/07/2008,152,"United Kingdom,United States of America","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.","Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal","Director:  Christopher Nolan , Screenwriter:  Christopher Nolan,Screenwriter:  Jonathan Nolan , Producer:  Charles Roven,Producer:  Christopher Nolan,Producer:  Emma Thomas,Producer:  Lorne Orleans",,,,,,,
67,Up,13/05/2009,96,United States of America,"Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.","Ed Asner,Christopher Plummer,Jordan Nagai,Bob Peterson,Delroy Lindo","Director:  Pete Docter , Screenwriter:  Bob Peterson,Screenwriter:  Pete Docter , Producer:  Jonas Rivera",,,,,,,
68,Monsters vs Aliens,19/03/2009,94,United States of America,"When Susan Murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day, she mysteriously grows to 49-feet-11-inches. The military jumps into action and captures Susan, secreting her away to a covert government compound. She is renamed Ginormica and placed in confinement with a ragtag group of Monsters...","Seth Rogen,Reese Witherspoon,Hugh Laurie,Paul Rudd,Kiefer Sutherland","Director:  Conrad Vernon,Director:  Rob Letterman , Screenwriter:  Wallace Wolodarsky,Screenwriter:  Glenn Berger,Screenwriter:  Jonathan Aibel,Screenwriter:  Maya Forbes,Screenwriter:  Rob Letterman , Producer:  ",,,,,,,
69,Iron Man,30/04/2008,126,United States of America,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Robert Downey Jr.,Terrence Howard,Jeff Bridges,Shaun Toub,Gwyneth Paltrow","Director:  Jon Favreau , Screenwriter:  Art Marcum,Screenwriter:  Matt Holloway , Producer:  Avi Arad,Producer:  Kevin Feige",,,,,,,
70,Hugo,22/11/2011,126,"France,United States of America,United Kingdom","Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.","Ben Kingsley,Sacha Baron Cohen,Asa Butterfield,Chlo\u00eb Grace Moretz,Ray Winstone","Director:  Martin Scorsese , Screenwriter:  John Logan , Producer:  Johnny Depp,Producer:  Martin Scorsese,Producer:  Graham King,Producer:  Tim Headington",,,,,,,
